{$T$ / K};{$t$ / s};{$\rho_\text{Fl} $ / $\frac{\symup{kg}}{\symup{m^3}}$};{\multicolumn{2}{c}{$\eta$ / $10^{-3} \symup{Pa} \, \symup{s}}}
295.15;76.62;997.77;1.222448350420538;0.0045063555076748305
295.15;76.59;997.77;1.221969709719512;0.0045045910771706515
304.15;63.00;995.34;1.0067014149861306;0.003711039787035716
304.15;62.71;995.34;1.0020673925996866;0.003693957222936663
307.15;59.14;994.37;0.9456040211197242;0.0034858142572538296 
307.15;59.58;994.37;0.9526392894540609;0.00351174862102102
312.15;54.88;992.59;0.8784826760232832;0.003238382418474027
312.15;54.91;992.59;0.878962896145016;0.0032401526712538052
316.15;51.14;991.03;0.8194260685236694;0.003020679913187057
316.15;50.10;991.03;0.802761948240826;0.0029592503646983093
320.15;47.96;989.36;0.7692863499591833;0.0028358480576500853 
320.15;47.09;998.36;0.7510239778840554;0.0027685268158523034 
324.15;44.73;987.58;0.7182858328804802;0.0026478430094590393 
324.15;44.32;987.58;0.7117019475354994;0.002623572595108979
329.15;40.15;985.20;0.6457102175444849;0.002380304897292793
329.15;40.65;985.20;0.6537514406770438;0.0024099475485666757 
334.15;38.52;982.15;0.6206899087755741;0.0022880716293713156 
334.15;38.64;982.15;0.6226235221985509;0.0022951995783724717 
